0	2
0	3
0	4
0	5
0	6
0	8
0	9
0	10
0	13
0	15
0	18
0	19
0	20
0	31
0	32
0	35
0	36
0	55
0	56
0	57
0	58
0	59
0	60
0	61
0	62
0	63
0	64
0	65
6	23
6	24
6	25
6	26
6	40
6	41
6	45
6	46
6	66
6	67
6	68
6	69
6	70
6	71
6	72
6	73
6	74
6	75
6	76
6	77
8	1
8	16
8	17
8	47
8	48
8	49
8	78
8	79
8	80
8	81
8	82
8	83
8	84
9	27
9	29
9	30
9	54
9	118
9	119
9	120
9	121
9	122
9	123
9	124
9	125
9	126
9	127
9	128
9	129
9	130
10	12
10	28
10	37
10	39
10	52
10	53
10	108
10	109
10	110
10	111
10	112
10	113
10	114
10	115
10	116
10	117
13	14
13	34
13	42
13	102
13	103
13	104
13	105
13	106
13	107
20	21
20	33
20	43
20	44
20	50
20	51
20	85
20	86
20	87
20	88
20	89
20	90
20	91
20	92
20	93
20	94
20	95
20	96
20	97
20	98
20	99
20	100
20	101
